Country,Value_1,Value_2,Value_3,Value_4,Value_5,Value_6,Value_7
CAF,0.11202994663581656,-0.9241703910045381,-1.5233122290145062,-0.5096732433924611,0.015175926694910302,-1.7061469765823123,0.0002769794934781219
CAN,-1.039158727984657,232.43249437434872,-31.673071161464293,-27.52942280312347,-0.46265029338503627,3.3514441569281628,0.00962042237876019
CHE,-0.8234122094112672,122.37034227921471,-6.266737130075728,-4.718389966320979,-0.3091303541995938,-1.7760431462761073,0.0018578976167594892
CHL,-0.4665573985245808,6.920775523852889,-9.114301097545551,-9.633162121594951,-0.20797902946693148,-0.3215444944549617,0.003068848957177957
CHN,-0.5946171846880066,6.433717942404912,-5.864214271834256,-7.5810914020743585,-0.12690239692595418,-2.965130773318514,0.00044783459441255
CIV,-0.15589745846572578,8.745620876754984,-2.3814121416455225,-2.0630488353510557,-0.054332739412688014,-1.8864434588330536,0.0005869158774478681
CMR,0.16831440221583005,-0.5442023186575706,0.28371910309623605,0.5440212839300518,0.03670310049286307,-2.0399068634332607,0.0002168207717551747
COD,-0.5040559538223799,1.1583273472024076,-0.27530555995641803,-1.5373342154677117,-0.05745124913062449,-2.620206824876359,0.0001554722779359719
COG,-2.8855735144263983,1.1744618701819656,-0.19080135560007871,-2.7979872351090895,-0.2601285908697015,-1.9592127174105856,0.0009948917199238435
COL,-0.0847742852277622,6.799785220528569,-13.113743266448363,-9.849036583285676,-0.04682732975461734,0.9721744487246609,0.0027876725102710916
COM,0.46878604778965993,-0.9394764702325737,-0.6230272705391227,0.8243754563397321,0.0552658987221788,-2.322218520953845,3.114873248994233e-05
CPV,0.35923384874210207,-0.9473962559379595,-1.4372252236884764,0.5052121613441152,0.04936169894389497,-1.8126626269388324,0.0001549220118356274
CRI,-0.43753114107860647,40.61048814822066,-19.34038374919299,-15.876722038754544,-0.20873865584312146,2.5003334724296833,0.006403685879082175
CUW,-0.7484682701158651,-0.49070261814099125,-27.255090051910148,-10.969585025381113,0.13640764537161676,4.87402618010877,0.008832731382025689
CYM,-0.4630549519611393,-0.9488873545355417,-17.127705088550037,-6.450692476264431,0.20115649529657276,2.8248283863107515,0.007152660542569002
CYP,0.3856270107455595,-0.8409303470052368,-0.14825486621092843,0.47526378584008544,0.06268744320900854,-1.7896589155458553,0.0001938133094658051
CZE,-0.06304760861393088,4.391993755831862,-0.47836372017124873,-0.30760089069036267,-0.005682745896795627,-2.0666772155127244,0.0007875638220397759
DEU,-0.4413105338774148,7.699716556729743,-3.6973301380865853,-3.3745112315758274,-0.13402821701969936,-1.9193819518051436,0.0010105060042363402
DJI,1.322858927055659,-0.9818801643745082,-0.027421323453935553,0.6667023359786084,0.31504911818880377,-2.364287574762658,0.000838033179647445
DMA,-0.31053524625499485,-0.9510892892738065,-1.2838496412960643,-3.196074011121708,0.29417510093909804,2.321930196340971,0.0052587175670078855
DNK,-0.218454855594441,29.564152252356678,-3.609356796686569,-2.4549629995082367,-0.09273241996738957,-1.9366393630445455,0.0007051544713919708
DOM,-0.5272744039837907,2.115156392047011,-30.894063502061307,-14.463936798068877,-0.007566467927222487,4.210073851522633,0.006884598007217951
DZA,-0.22593990851842438,4.051326598576828,-2.1801850833297998,-2.3327216303986598,-0.04672473206928096,-2.1766769799971053,0.00026930176157838944
ECU,-0.3767305701031787,6.5062635091294565,-10.183251994141497,-11.303536266806447,-0.21400719992181738,0.5307281073143155,0.003967263022006361
