us_tariff,china_rate,eu_rate,canmex_rate,welfare_us,cpi_us,employment_us,trade_deficit_us,hhi_pharma,welfare_china,welfare_eu
0.0,0.3,0.1,0.1,-0.537340601610703,-1.8507305603949087,-0.19820097533220782,-6.312723844150304,580.4,0.09880914418676223,0.13164489445229854
0.0,0.3,0.1,0.2,-0.7268565704231622,-2.31807069344363,-0.2667584907744214,-8.363724913753732,580.4,0.13099641855884858,0.14445839301677754
0.0,0.3,0.1,0.3,-0.8571586417801091,-2.6672620120055224,-0.31413360282858127,-9.789486003762473,580.4,0.15617602518673834,0.15466148917735456
0.0,0.3,0.1,0.4,-0.9460705674174341,-2.919883407170898,-0.3465631929095103,-10.770606718071333,580.4,0.17499761936279334,0.16228795606794133
0.0,0.3,0.1,0.5,-1.0067290575787924,-3.0993618603775697,-0.36872550203501664,-11.444255429547058,580.4,0.1886953438280159,0.16777376539580668
0.0,0.3,0.2,0.0,-0.3557725958418856,-1.7017249672248491,-0.13501076300871384,-4.57817308456619,580.4,0.07668305722479118,0.0806115453674483
0.0,0.3,0.2,0.1,-0.6284591397676675,-2.3199068466090766,-0.2332332964966488,-7.490308878304587,580.4,0.1159042191034576,0.09494874157267574
0.0,0.3,0.2,0.2,-0.8194284608871061,-2.8065268798157406,-0.3025436527621217,-9.559015208565572,580.4,0.14890164706087283,0.1076979408121792
0.0,0.3,0.2,0.3,-0.9510823441841953,-3.1716810662095196,-0.3505859925290178,-11.001464875008805,580.4,0.17483900972585786,0.11795663565548065
0.0,0.3,0.2,0.4,-1.0411349217192112,-3.4368470981618326,-0.3835625427456746,-11.996780821298122,580.4,0.19430856131192886,0.1256872686246746
0.0,0.3,0.2,0.5,-1.1026954758527108,-3.62580937077035,-0.40614946667696383,-12.681709835300166,580.4,0.2085254216209309,0.1312828204332206
0.0,0.3,0.3,0.0,-0.41018131453973705,-1.9808067823292141,-0.15582846362143243,-5.286498715178875,580.4,0.08737929273716638,-0.009102158188922793
0.0,0.3,0.3,0.1,-0.6837549291489164,-2.613422290564915,-0.2545495384111529,-8.209509797917876,580.4,0.12714223888701248,0.0025628554843892815
0.0,0.3,0.3,0.2,-0.8756646305611682,-3.1127610963074703,-0.32434733009977235,-10.289926592349518,580.4,0.16069378335699103,0.013266664827549235
0.0,0.3,0.3,0.3,-1.008191509063927,-3.48848542983613,-0.3728220321421394,-11.74335746277359,580.4,0.18714567996913622,0.022037055459023236
0.0,0.3,0.3,0.4,-1.09898158481736,-3.7619902663225346,-0.4061538840959389,-12.748008591318676,580.4,0.20705418345157156,0.028719601488469415
0.0,0.3,0.3,0.5,-1.1611266065053027,-3.957278584345314,-0.4290174005694314,-13.440363818393259,580.4,0.22162267243635014,0.03358915834879017
0.0,0.3,0.4,0.0,-0.443982171210644,-2.157626924650513,-0.1687711328875019,-5.728704855856029,580.4,0.09441247992958424,-0.10647517290190978
0.0,0.3,0.4,0.1,-0.7181354302655207,-2.7996917216166706,-0.26781593909053214,-8.658946901697275,580.4,0.1345444379574401,-0.09813424528829495
0.0,0.3,0.4,0.2,-0.9106554259681987,-3.307373810771963,-0.33792961958778456,-10.747069399764836,580.4,0.16846946856570177,-0.09004660007503329
