Country,Value_1,Value_2,Value_3,Value_4,Value_5,Value_6,Value_7
DNK,-0.123228682382337,16.7386110967772,-1.92546001562062,-1.14285296728216,-0.0702123988637005,-4.59105402034402,0
DOM,-0.422922620873112,-0.41435916198093,-7.07137282060094,-3.21969566090459,-0.133726213557017,0.107125054842472,0
DZA,-0.566352843853957,2.87906848446211,-0.795875062138174,-1.92083320697117,-0.0681061044796039,-4.91989944007898,0
ECU,-0.825852279838424,-1.55757791492525,-2.29992377084073,-4.21745938386691,-0.208143408707706,-2.47406615796486,0
EGY,0.649974921406615,-0.647392848918499,-0.720519047521595,1.21800926935893,0.063306003367769,-4.3237582592045,0
ERI,-0.614096290936283,0.406323439808391,-2.0003950923035,-3.07087542416697,-0.130829967095947,-5.10176207175089,0
ESP,0.11353403436376,1.79325865499217,-1.60636021286205,-0.590504983050033,-0.0277989898118336,-4.341388119208,0
EST,0.42360161778674,0.858276526960084,-0.8419859974508,0.103365554005008,-0.00431676251738677,-4.65776636774169,0
ETH,0.426689513903034,-0.566658950318845,-0.889970326334211,2.31263917629949,0.0461039950504283,-4.07718855466396,0
FIN,-0.335140678785328,10.6336346467502,-1.81634481587285,-1.53336336817329,-0.0853726520381293,-4.70390615469818,0
FJI,1.68342202042231,1.39443615578182,-19.2577921004032,-0.699424948193073,-0.114389833825579,-5.38869280859857,0
FRA,0.176874103517721,1.53593605873168,-2.43309103133177,-0.788363878509168,-0.0284320006261773,-4.45453542153128,0
FSM,-2.91747649731675,0.342956934645092,-6.75032763826847,-12.4888716240494,-0.678726085555592,-3.33392736191789,0
GAB,-5.48862686845273,0.320871054182997,1.46748832532066,-4.8930861206426,-0.386576382311066,-4.57918442797625,0
GBR,0.422918457622967,-1.12597515306798,-0.81287577989545,0.495771626610275,0.0300442828837122,-3.81332815071657,0
GEO,0.875948105021962,-0.459618940583344,-5.89984876282127,0.522573340247723,0.0471139411047039,-3.18754870735356,0
GHA,0.29880208776687,-4.37248642157103,1.22108767506308,1.13687632736741,0.0558599084600431,-4.71430079750515,0
GIN,-11.6235777245866,0.425440343372918,1.8620195258128,-5.34173643712502,-0.534406896426676,-4.57936133651534,0
GMB,1.18105680332659,-0.436231829424015,-0.206016775179496,1.19481496870202,-0.1397905962367,-4.92667825359733,0
GNB,1.27965898495701,-0.434528508174435,-3.23631683206567,2.47928930149672,0.137432485889111,-4.42983124303342,0
