date,index_canada,index_mexico,index_china,index_usa
06jan2026,1.0201068,.99110907,1.0097425,1.0238041
07jan2026,1.0205406,.99123263,1.0095832,1.0231693
08jan2026,1.0205238,.99015844,1.0096263,1.0218986
09jan2026,1.0181068,.99321675,1.0097626,1.0215044
10jan2026,1.018271,.99379879,1.0096186,1.0220302
11jan2026,1.0186014,.9934963,1.0091321,1.0219007
12jan2026,1.0194411,.99238724,1.0090847,1.0218257
13jan2026,1.019866,.99141735,1.0090414,1.0220813
14jan2026,1.0191431,.99138093,1.0092378,1.0220448
15jan2026,1.0189873,.9923647,1.0095032,1.0220485
16jan2026,1.0190288,.99277121,1.0090839,1.0221448
17jan2026,1.0198036,.99271166,1.008737,1.0215975
18jan2026,1.019673,.99231678,1.0079633,1.0215926
19jan2026,1.0179064,.99304098,1.009168,1.0215468
20jan2026,1.018967,.99344063,1.0096262,1.0215673
21jan2026,1.0200278,.99320489,1.0101684,1.023065
22jan2026,1.0204169,.99454707,1.0106177,1.0245618
23jan2026,1.0196728,.99571937,1.0108004,1.0232356
24jan2026,1.0198163,.99518502,1.0110952,1.0239766
25jan2026,1.0201824,.99561685,1.011288,1.0233065
26jan2026,1.0205181,.99446118,1.0113485,1.0245231
27jan2026,1.0201131,.99349296,1.0119133,1.0237783
28jan2026,1.0203171,.99143517,1.011538,1.0231093
29jan2026,1.0201828,.99353617,1.0109247,1.0233291
30jan2026,1.0222762,.98932809,1.0100974,1.0225222
31jan2026,1.023285,.98683333,1.009743,1.0208625
01feb2026,1.024168,.98702449,1.0089679,1.0208999
02feb2026,1.0250392,.99458241,1.0105934,1.023901
03feb2026,1.0262212,.99208909,1.0103121,1.0217066
04feb2026,1.0254946,.9921087,1.010371,1.0217166
05feb2026,1.0260273,.98965943,1.0100647,1.0180507
06feb2026,1.0283189,.98920619,1.0097327,1.017179
07feb2026,1.0281732,.98941362,1.009845,1.0166696
08feb2026,1.0264715,.98934901,1.0095518,1.0160092
09feb2026,1.0269194,.99329984,1.0095837,1.0161148
10feb2026,1.0263785,.99359834,1.0082732,1.0161492
